"amount_deviation","bank_name","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","last_domain_zone","phone_2","status"
"-3","CB PRIVATBANK","473118","classic","VISA card","lowercase","10","0","5","com","50","false"
"-3","PBS INTERNATIONAL A/S","457162","classic","VISA card","mixed","10","0","5","dk","undefined","false"
"-3","PBS INTERNATIONAL A/S","457175","classic","VISA card","mixed","10","0","5","dk","undefined","false"
"-3","TELLER A/S","517008","standard","MasterCard","mixed","10","2","5","dk","undefined","false"
"-3","TELLER A/S","517008","standard","MasterCard","mixed","10","2","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457197","classic","VISA card","mixed","10","4","5","dk","undefined","false"
"-3","TELLER A/S","517011","standard","MasterCard","mixed","10","2","5","dk","undefined","false"
"-3","PBS INTERNATIONAL A/S","457190","classic","VISA card","mixed","12","0","5","dk","undefined","false"
"-3","TELLER A/S","517011","standard","MasterCard","mixed","12","4","5","com","undefined","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","13","0","5","dk","undefined","false"
"-3","PBS INTERNATIONAL A/S","457192","classic","VISA card","mixed","13","3","5","com","45","false"
"-3","DANSKE BANK A/S","547133","standard","MasterCard","mixed","13","0","5","dk","undefined","false"
"-3","NORDEA BANK DANMARK A/S","557892","standard","MasterCard","lowercase","13","0","5","com","undefined","false"
"-3","PBS INTERNATIONAL A/S","457195","classic","VISA card","mixed","13","0","5","com","undefined","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","mixed","14","1","5","com","55","false"
"-3","DANSKE BANK A/S","557384","mastercard-debit","MasterCard","lowercase","14","0","5","dk","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","15","4","5","com","28","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","15","1","5","com","27","false"
"-3","POSTE ITALIANE","536414","standard","MasterCard","lowercase","15","0","5","com","01","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","15","5","5","con","33","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","0","5","it","92","false"
"-3","ENTERCARD NORGE, A.S.","524882","standard","MasterCard","mixed","16","2","5","com","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","2","5","it","66","false"
"-3","PBS INTERNATIONAL A/S","457109","classic","VISA card","mixed","16","0","5","com","undefined","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","16","0","5","com","34","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","16","0","5","it","28","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","17","0","5","it","24","false"
"-3","POSTE ITALIANE S.P.A. (BANCO POSTA)","402360","classic","VISA card","mixed","18","0","5","it","39","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","18","0","5","it","92","false"
"-3","undefined","535476","mastercard-debit","MasterCard","mixed","18","0","5","com","45","false"
"-3","BANK OF AMERICA, N.A.","534232","standard","MasterCard","mixed","18","0","5","it","39","false"
"-3","TELLER A/S","517008","standard","MasterCard","mixed","18","2","5","com","undefined","false"
"-3","SEB KORT DANMARK","541303","standard","MasterCard","mixed","19","0","5","dk","undefined","true"
"-3","BANCA NAZIONALE DEL LAVORO S.P.A. - BNL","543013","standard","MasterCard","lowercase","19","0","5","com","27","false"
"-3","PBS INTERNATIONAL A/S","457114","classic","VISA card","mixed","19","0","5","dk","undefined","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","19","4","5","com","27","false"
"-3","POSTE ITALIANE","533317","standard","MasterCard","mixed","19","2","5","com","47","false"
