"amount","bin","card_subtype","card_type","case_address","client_hour","count_digit_in_login","day_of_week","latitude","longitude","phone_2","status"
"2.20","473118","5","0","2","10","0","5","48.4630","35.0390","50","0"
"2.25","457162","5","0","1","10","0","5","55.6761","12.5683","undefined","0"
"2.25","457175","5","0","1","10","0","5","55.6761","12.5683","undefined","0"
"2.25","517008","0","1","1","10","2","5","55.6761","12.5683","undefined","0"
"2.25","517008","0","1","1","10","2","5","54.8373","11.1284","undefined","0"
"2.25","457197","5","0","1","10","4","5","55.6761","12.5683","undefined","0"
"2.25","517011","0","1","1","10","2","5","55.6761","12.5683","undefined","0"
"2.25","457190","5","0","1","12","0","5","56.2661","10.0630","undefined","0"
"2.25","517011","0","1","1","12","4","5","55.6761","12.5683","undefined","0"
"2.25","557384","1","1","1","13","0","5","55.6761","12.5683","undefined","0"
"2.25","457192","5","0","1","13","3","5","56.1697","9.5451","45","0"
"2.25","547133","0","1","1","13","0","5","57.0355","9.9412","undefined","0"
"2.25","557892","0","1","2","13","0","5","55.6761","12.5683","undefined","0"
"2.25","457195","5","0","1","13","0","5","56.1697","9.5451","undefined","0"
"2.25","557384","1","1","1","14","1","5","55.6761","12.5683","55","0"
"2.25","557384","1","1","2","14","0","5","55.6761","12.5683","undefined","0"
"2.20","533317","0","1","1","15","4","5","42.8333","12.8333","28","0"
"2.20","402360","5","0","1","15","1","5","42.8333","12.8333","27","0"
"2.20","536414","0","1","2","15","0","5","45.0705","7.6868","01","0"
"2.20","533317","0","1","1","15","5","5","42.8333","12.8333","33","0"
"2.20","533317","0","1","1","16","0","5","42.8333","12.8333","92","0"
"2.25","524882","0","1","1","16","2","5","55.6415","12.0803","undefined","0"
"2.20","533317","0","1","1","16","2","5","42.8333","12.8333","66","0"
"2.25","457109","5","0","1","16","0","5","55.6761","12.5683","undefined","0"
"2.20","402360","5","0","1","16","0","5","42.8333","12.8333","34","0"
"2.20","533317","0","1","1","16","0","5","42.8333","12.8333","28","0"
"2.20","402360","5","0","1","17","0","5","42.8333","12.8333","24","0"
"2.20","402360","5","0","1","18","0","5","39.1922","16.3208","39","0"
"2.20","533317","0","1","1","18","0","5","41.6856","15.3815","92","0"
"2.20","535476","1","1","1","18","0","5","45.7780","8.7734","45","0"
"2.20","534232","0","1","1","18","0","5","42.4310","13.9806","39","0"
"2.25","517008","0","1","1","18","2","5","55.6211","8.4807","undefined","0"
"2.25","541303","0","1","1","19","0","5","55.6761","12.5683","undefined","1"
"2.20","543013","0","1","2","19","0","5","48.8600","2.3500","27","0"
"2.25","457114","5","0","1","19","0","5","55.6761","12.5683","undefined","0"
"2.20","533317","0","1","1","19","4","5","44.4833","11.3333","27","0"
"2.20","533317","0","1","1","19","2","5","48.8600","2.3500","47","0"
"2.20","403027","5","0","1","19","2","5","42.8333","12.8333","40","0"
"2.20","533317","0","1","1","20","0","5","45.6124","9.2398","45","0"
"2.25","457198","5","0","1","20","0","5","55.6761","12.5683","undefined","0"
"2.20","402360","5","0","1","20","0","5","42.8333","12.8333","27","0"
"2.20","533317","0","1","1","01","0","6","42.8333","12.8333","88","0"
"2.20","535586","1","1","2","01","0","6","48.5151","-2.7684","78","0"
"2.20","497641","5","0","1","07","0","6","48.8600","2.3500","78","0"
"2.25","457181","5","0","1","08","0","6","55.6667","12.5833","undefined","0"
"2.25","457172","5","0","1","08","2","6","55.2670","10.1604","undefined","1"
"2.25","457135","5","0","1","08","2","6","55.6581","12.5241","45","0"
"2.20","497043","5","0","2","09","0","6","48.8600","2.3500","63","0"
"2.20","513283","0","1","1","10","0","6","48.8600","2.3500","67","0"
"2.25","457107","5","0","1","10","1","6","55.4904","9.4722","45","0"
"2.20","402360","5","0","1","11","2","6","42.8333","12.8333","40","0"
"2.25","517011","0","1","1","12","0","6","55.6761","12.5683","undefined","0"
"2.20","513162","0","1","1","12","4","6","45.5709","5.4303","64","0"
"2.20","497831","5","0","2","12","5","6","45.7797","3.0863","75","0"
"2.25","405245","5","0","1","13","0","6","55.8160","12.5385","undefined","0"
"2.25","457153","5","0","1","13","0","6","55.6761","12.5683","undefined","0"
"2.20","497040","5","0","2","13","2","6","48.8600","2.3500","69","0"
"2.25","547132","0","1","1","13","0","6","55.6761","12.5683","undefined","0"
